氏族名,氏族英語名,標語,典型的な元人間像,氏族の詳細概要,内なる獣の衝動,氏族の呪い,狂乱の性質,取得可能な訓え一覧,訓え名,訓えの概要説明,ドット数,パワー名,系統・種別,発動タイプ,使用能力値,発動コスト,抵抗/難易度,射程/距離,持続時間,パワー概要,効果とルールの詳細 (日本語),成熟ルール (上位ドット時の強化),Rules_Description (英語原文),Maturing_Rules (英語原文)
ラソンブラ,Lasombra,影が世界を覆うとき、我らが世界を支配する。,冷酷な企業CEO、腐敗した聖職者、容赦なき社交界の黒幕、失脚した政治家、カルテルのフィクサー,ラソンブラは、世界はそれを支配する強い意志を持つ者のものであり、力とは与えられるものではなく冷徹な決意と闇の支配によって奪い取るものだと確信しています。彼らにとってあらゆる会議場や宮廷はチェス盤であり、劣る者は犠牲にされるべき駒にすぎません。極限の試練を生き残った強者のみを同胞として認めます。影そのものを物理的に操る能力や、他者の精神を絶対的に屈服させる技術に長けています。,処罰者 / 容赦なき野心 (Ruthless Ambition): 他者への絶対的勝利とライバルの屈服を渇望します。競争相手を罠に嵌め、支配権を誇示し、権力への道を阻む者を排除することで獣を満たします。,影の顕現 / 反射の歪み (Shadow Cast / Reflectionless): 鏡やカメラ、反射面に姿が正しく映らず、蠢く影や歪んだノイズになります。音声機器でも声が不気味に歪み、強い光や聖別された場所では超自然の露見難易度が［世代修正値］分上昇します。,冷酷 / 無情 (Ruthlessness): 冷徹で残忍な破壊衝動に駆られます。自分を挑発したり権威に逆らった者を徹底的に叩き潰し、味方や資産の犠牲をも顧みずに完全な屈服を強要します。,支配（Dominate）、怪力（Potence）に加え、選択訓えとして堕落（Corruption）または忘却（Oblivion）のいずれか一方を選択して習得します。,ドミネイト (支配・威圧),視線を合わせることで他者の自由意志を制圧し、絶対的な命令に従わせ、記憶を消去・改ざんする精神統制の訓え。,1,催眠の命令 (Mesmerize),1-dot Mental Dominate,アクション (Action),社会: 操作力 (Manipulation),意志力1点 (1 Willpower),対象の決意 (Target's Resolve),アイコンタクト/目を合わせた状態 (Eye contact),命令完遂まで (Until completed),複雑な一連の指示を刷り込み、命令されたことすら忘れて実行させる。,対象の深層心理に詳細な命令を埋め込む。対象は術者から命じられた事実を忘れ、自発的な行動と信じ込んで命令を忠実に完遂する。,"•••: 特定の条件で発動するポスト催眠トリガーを埋め込める。
•••••: 数日後に発動する複雑な時限命令をも実行させられる。","Implant detailed instructions that the target will carry out faithfully, forgetting that you ordered them to do so.","•••: Can implant post-hypnotic triggers.
•••••: Subject obeys commands days later."
ラソンブラ,Lasombra,影が世界を覆うとき、我らが世界を支配する。,冷酷な企業CEO、腐敗した聖職者、容赦なき社交界の黒幕、失脚した政治家、カルテルのフィクサー,ラソンブラは、世界はそれを支配する強い意志を持つ者のものであり、力とは与えられるものではなく冷徹な決意と闇の支配によって奪い取るものだと確信しています。彼らにとってあらゆる会議場や宮廷はチェス盤であり、劣る者は犠牲にされるべき駒にすぎません。極限の試練を生き残った強者のみを同胞として認めます。影そのものを物理的に操る能力や、他者の精神を絶対的に屈服させる技術に長けています。,処罰者 / 容赦なき野心 (Ruthless Ambition): 他者への絶対的勝利とライバルの屈服を渇望します。競争相手を罠に嵌め、支配権を誇示し、権力への道を阻む者を排除することで獣を満たします。,影の顕現 / 反射の歪み (Shadow Cast / Reflectionless): 鏡やカメラ、反射面に姿が正しく映らず、蠢く影や歪んだノイズになります。音声機器でも声が不気味に歪み、強い光や聖別された場所では超自然の露見難易度が［世代修正値］分上昇します。,冷酷 / 無情 (Ruthlessness): 冷徹で残忍な破壊衝動に駆られます。自分を挑発したり権威に逆らった者を徹底的に叩き潰し、味方や資産の犠牲をも顧みずに完全な屈服を強要します。,支配（Dominate）、怪力（Potence）に加え、選択訓えとして堕落（Corruption）または忘却（Oblivion）のいずれか一方を選択して習得します。,ドミネイト (支配・威圧),視線を合わせることで他者の自由意志を制圧し、絶対的な命令に従わせ、記憶を消去・改ざんする精神統制の訓え。,2,狂気の誘発 (Dementation),2-dot Mental Dominate,アクション (Action),社会: 操作力 (Manipulation),1ヴィータイ (1 Vitae),対象の平静 (Target's Composure),アイコンタクト/目を合わせた状態 (Eye contact),1シーン (One scene),一時的な狂気、妄想、感覚の錯乱を引き起こして錯乱させる。,対象の精神の安定を打ち砕き、偏執病（パラノイア）、激しいヒステリー、あるいは知覚の幻覚を引き起こして発狂させる。,"•••: 対象が錯乱し、最も近くにいる人物に無差別攻撃を仕掛ける。
•••••: 対象の狂気が恒久的な精神障害となる。","Drive a target temporarily insane, triggering paranoia, hysteria, or sensory hallucinations.","•••: Target attacks nearest individual.
•••••: Insanity becomes permanent."
ラソンブラ,Lasombra,影が世界を覆うとき、我らが世界を支配する。,冷酷な企業CEO、腐敗した聖職者、容赦なき社交界の黒幕、失脚した政治家、カルテルのフィクサー,ラソンブラは、世界はそれを支配する強い意志を持つ者のものであり、力とは与えられるものではなく冷徹な決意と闇の支配によって奪い取るものだと確信しています。彼らにとってあらゆる会議場や宮廷はチェス盤であり、劣る者は犠牲にされるべき駒にすぎません。極限の試練を生き残った強者のみを同胞として認めます。影そのものを物理的に操る能力や、他者の精神を絶対的に屈服させる技術に長けています。,処罰者 / 容赦なき野心 (Ruthless Ambition): 他者への絶対的勝利とライバルの屈服を渇望します。競争相手を罠に嵌め、支配権を誇示し、権力への道を阻む者を排除することで獣を満たします。,影の顕現 / 反射の歪み (Shadow Cast / Reflectionless): 鏡やカメラ、反射面に姿が正しく映らず、蠢く影や歪んだノイズになります。音声機器でも声が不気味に歪み、強い光や聖別された場所では超自然の露見難易度が［世代修正値］分上昇します。,冷酷 / 無情 (Ruthlessness): 冷徹で残忍な破壊衝動に駆られます。自分を挑発したり権威に逆らった者を徹底的に叩き潰し、味方や資産の犠牲をも顧みずに完全な屈服を強要します。,支配（Dominate）、怪力（Potence）に加え、選択訓えとして堕落（Corruption）または忘却（Oblivion）のいずれか一方を選択して習得します。,ドミネイト (支配・威圧),視線を合わせることで他者の自由意志を制圧し、絶対的な命令に従わせ、記憶を消去・改ざんする精神統制の訓え。,2,潜伏命令 (Submerged Directive),2-dot Mental Dominate,アクション (Action),社会: 操作力 (Manipulation),意志力1点 (1 Willpower),対象の決意 (Target's Resolve),アイコンタクト/目を合わせた状態 (Eye contact),無期限/トリガー起動まで (Indefinite),特定の合図や状況に反応して起動する潜伏命令を植え付ける。,対象の潜在意識にスリーパー指令を埋め込む。特定の感覚的引き金（特定の単語を聞く、特定の鐘の音など）を感知した際に初めて命令が自動起動する。,"•••: 1人の対象に最大3つの異なるトリガー命令を埋め込める。
•••••: トリガー起動時、対象は主君への裏切りや重大犯罪をもためらわず実行する。",Plant a command that activates only when a specific sensory trigger occurs (e.g. hearing a phrase or chime).,"•••: Can implant up to 3 triggers.
•••••: Target will commit treason when triggered."
ラソンブラ,Lasombra,影が世界を覆うとき、我らが世界を支配する。,冷酷な企業CEO、腐敗した聖職者、容赦なき社交界の黒幕、失脚した政治家、カルテルのフィクサー,ラソンブラは、世界はそれを支配する強い意志を持つ者のものであり、力とは与えられるものではなく冷徹な決意と闇の支配によって奪い取るものだと確信しています。彼らにとってあらゆる会議場や宮廷はチェス盤であり、劣る者は犠牲にされるべき駒にすぎません。極限の試練を生き残った強者のみを同胞として認めます。影そのものを物理的に操る能力や、他者の精神を絶対的に屈服させる技術に長けています。,処罰者 / 容赦なき野心 (Ruthless Ambition): 他者への絶対的勝利とライバルの屈服を渇望します。競争相手を罠に嵌め、支配権を誇示し、権力への道を阻む者を排除することで獣を満たします。,影の顕現 / 反射の歪み (Shadow Cast / Reflectionless): 鏡やカメラ、反射面に姿が正しく映らず、蠢く影や歪んだノイズになります。音声機器でも声が不気味に歪み、強い光や聖別された場所では超自然の露見難易度が［世代修正値］分上昇します。,冷酷 / 無情 (Ruthlessness): 冷徹で残忍な破壊衝動に駆られます。自分を挑発したり権威に逆らった者を徹底的に叩き潰し、味方や資産の犠牲をも顧みずに完全な屈服を強要します。,支配（Dominate）、怪力（Potence）に加え、選択訓えとして堕落（Corruption）または忘却（Oblivion）のいずれか一方を選択して習得します。,ドミネイト (支配・威圧),視線を合わせることで他者の自由意志を制圧し、絶対的な命令に従わせ、記憶を消去・改ざんする精神統制の訓え。,2,忘却の精神 (The Forgetful Mind),2-dot Mental Dominate,アクション (Action),社会: 操作力 (Manipulation),1ヴィータイ (1 Vitae),対象の決意 (Target's Resolve),アイコンタクト/目を合わせた状態 (Eye contact),永続 (Permanent),数年間にわたる人生の記憶、人間関係、体験を深く書き換える。,対象の記憶の構造に深く入り込み、数年分に及ぶ重要な出来事、愛情や忠誠の対象、誓いなどの記憶を自在に再構築・書き換える。,なし,"Enter the target's mind and systematically rewrite significant memories, relationships, and events.",None
ラソンブラ,Lasombra,影が世界を覆うとき、我らが世界を支配する。,冷酷な企業CEO、腐敗した聖職者、容赦なき社交界の黒幕、失脚した政治家、カルテルのフィクサー,ラソンブラは、世界はそれを支配する強い意志を持つ者のものであり、力とは与えられるものではなく冷徹な決意と闇の支配によって奪い取るものだと確信しています。彼らにとってあらゆる会議場や宮廷はチェス盤であり、劣る者は犠牲にされるべき駒にすぎません。極限の試練を生き残った強者のみを同胞として認めます。影そのものを物理的に操る能力や、他者の精神を絶対的に屈服させる技術に長けています。,処罰者 / 容赦なき野心 (Ruthless Ambition): 他者への絶対的勝利とライバルの屈服を渇望します。競争相手を罠に嵌め、支配権を誇示し、権力への道を阻む者を排除することで獣を満たします。,影の顕現 / 反射の歪み (Shadow Cast / Reflectionless): 鏡やカメラ、反射面に姿が正しく映らず、蠢く影や歪んだノイズになります。音声機器でも声が不気味に歪み、強い光や聖別された場所では超自然の露見難易度が［世代修正値］分上昇します。,冷酷 / 無情 (Ruthlessness): 冷徹で残忍な破壊衝動に駆られます。自分を挑発したり権威に逆らった者を徹底的に叩き潰し、味方や資産の犠牲をも顧みずに完全な屈服を強要します。,支配（Dominate）、怪力（Potence）に加え、選択訓えとして堕落（Corruption）または忘却（Oblivion）のいずれか一方を選択して習得します。,ドミネイト (支配・威圧),視線を合わせることで他者の自由意志を制圧し、絶対的な命令に従わせ、記憶を消去・改ざんする精神統制の訓え。,3,肉体の憑依 (Possession),3-dot Mental Dominate,アクション (Action),社会: カリスマ (Charisma),2ヴィータイ (2 Vitae),対象の決意 (Target's Resolve),アイコンタクト/目を合わせた状態 (Eye contact),1夜 (One night),人間の肉体に意識を憑依させ、人形のように遠隔操作する。,自身の肉体をトランス状態にして休眠させ、人間の肉体に意識を投影して完全にその肉体を支配・行動させる。,•••••: 人間だけでなく、他の吸血鬼の肉体に憑依することが可能となる。,"Project your consciousness into a mortal's body, controlling their actions while your vampire body lies inert.",•••••: Can possess another vampire.
ラソンブラ,Lasombra,影が世界を覆うとき、我らが世界を支配する。,冷酷な企業CEO、腐敗した聖職者、容赦なき社交界の黒幕、失脚した政治家、カルテルのフィクサー,ラソンブラは、世界はそれを支配する強い意志を持つ者のものであり、力とは与えられるものではなく冷徹な決意と闇の支配によって奪い取るものだと確信しています。彼らにとってあらゆる会議場や宮廷はチェス盤であり、劣る者は犠牲にされるべき駒にすぎません。極限の試練を生き残った強者のみを同胞として認めます。影そのものを物理的に操る能力や、他者の精神を絶対的に屈服させる技術に長けています。,処罰者 / 容赦なき野心 (Ruthless Ambition): 他者への絶対的勝利とライバルの屈服を渇望します。競争相手を罠に嵌め、支配権を誇示し、権力への道を阻む者を排除することで獣を満たします。,影の顕現 / 反射の歪み (Shadow Cast / Reflectionless): 鏡やカメラ、反射面に姿が正しく映らず、蠢く影や歪んだノイズになります。音声機器でも声が不気味に歪み、強い光や聖別された場所では超自然の露見難易度が［世代修正値］分上昇します。,冷酷 / 無情 (Ruthlessness): 冷徹で残忍な破壊衝動に駆られます。自分を挑発したり権威に逆らった者を徹底的に叩き潰し、味方や資産の犠牲をも顧みずに完全な屈服を強要します。,支配（Dominate）、怪力（Potence）に加え、選択訓えとして堕落（Corruption）または忘却（Oblivion）のいずれか一方を選択して習得します。,ドミネイト (支配・威圧),視線を合わせることで他者の自由意志を制圧し、絶対的な命令に従わせ、記憶を消去・改ざんする精神統制の訓え。,3,自己正当化 (Rationalize),3-dot Mental Dominate,アクション (Action),社会: 操作力 (Manipulation),1ヴィータイ (1 Vitae),対象の決意 (Target's Resolve),近距離 (Near),永続 (Permanent),支配下で行わせた全行動を、対象自身の妙案だったと信じ込ませる。,術者のドミネイトによって実行させられたあらゆる行動について、被害者が「すべて自分自身の自発的かつ素晴らしいアイデアだった」と心から納得・正当化するように固定する。,•••••: 対象が裁判や審問の場でも自らの行動を熱狂的に擁護するようになる。,Ensure the victim genuinely believes all actions taken under your Dominate were their own brilliant ideas.,•••••: Target vigorously defends actions in court.
ラソンブラ,Lasombra,影が世界を覆うとき、我らが世界を支配する。,冷酷な企業CEO、腐敗した聖職者、容赦なき社交界の黒幕、失脚した政治家、カルテルのフィクサー,ラソンブラは、世界はそれを支配する強い意志を持つ者のものであり、力とは与えられるものではなく冷徹な決意と闇の支配によって奪い取るものだと確信しています。彼らにとってあらゆる会議場や宮廷はチェス盤であり、劣る者は犠牲にされるべき駒にすぎません。極限の試練を生き残った強者のみを同胞として認めます。影そのものを物理的に操る能力や、他者の精神を絶対的に屈服させる技術に長けています。,処罰者 / 容赦なき野心 (Ruthless Ambition): 他者への絶対的勝利とライバルの屈服を渇望します。競争相手を罠に嵌め、支配権を誇示し、権力への道を阻む者を排除することで獣を満たします。,影の顕現 / 反射の歪み (Shadow Cast / Reflectionless): 鏡やカメラ、反射面に姿が正しく映らず、蠢く影や歪んだノイズになります。音声機器でも声が不気味に歪み、強い光や聖別された場所では超自然の露見難易度が［世代修正値］分上昇します。,冷酷 / 無情 (Ruthlessness): 冷徹で残忍な破壊衝動に駆られます。自分を挑発したり権威に逆らった者を徹底的に叩き潰し、味方や資産の犠牲をも顧みずに完全な屈服を強要します。,支配（Dominate）、怪力（Potence）に加え、選択訓えとして堕落（Corruption）または忘却（Oblivion）のいずれか一方を選択して習得します。,オブリビオン (忘却・深淵),虚無（アビス）の影を物理的に操り、暗黒の触手や道具を具現化し、影から影へと空間を渡る深淵の影魔法の訓え。,1,暗黒の霧 (Cloud of Darkness),1-dot Mental Oblivion,アクション (Action),精神: 機知 (Wits),1ヴィータイ (1 Vitae),なし (None),近距離 (Near),1シーン (One scene),光を一切通さない絶対的暗黒の霧を召喚し、視界を奪う。,照明やフラッシュライトを無効化する極寒の闇の雲を召喚する。霧の中では視界が奪われ、暗視すらも通さない完全な漆黒となる。,"•••: 闇が強烈な冷気を放ち、触れた人間にダメージを与える。
•••••: 倉庫一棟全体を暗黒の雲で満たすことができる。","Summon freezing, impenetrable shadows that extinguish torches, blind flashlights, and muffle vision.","•••: Darkness chills mortals, dealing damage.
•••••: Cloud fills an entire warehouse."
ラソンブラ,Lasombra,影が世界を覆うとき、我らが世界を支配する。,冷酷な企業CEO、腐敗した聖職者、容赦なき社交界の黒幕、失脚した政治家、カルテルのフィクサー,ラソンブラは、世界はそれを支配する強い意志を持つ者のものであり、力とは与えられるものではなく冷徹な決意と闇の支配によって奪い取るものだと確信しています。彼らにとってあらゆる会議場や宮廷はチェス盤であり、劣る者は犠牲にされるべき駒にすぎません。極限の試練を生き残った強者のみを同胞として認めます。影そのものを物理的に操る能力や、他者の精神を絶対的に屈服させる技術に長けています。,処罰者 / 容赦なき野心 (Ruthless Ambition): 他者への絶対的勝利とライバルの屈服を渇望します。競争相手を罠に嵌め、支配権を誇示し、権力への道を阻む者を排除することで獣を満たします。,影の顕現 / 反射の歪み (Shadow Cast / Reflectionless): 鏡やカメラ、反射面に姿が正しく映らず、蠢く影や歪んだノイズになります。音声機器でも声が不気味に歪み、強い光や聖別された場所では超自然の露見難易度が［世代修正値］分上昇します。,冷酷 / 無情 (Ruthlessness): 冷徹で残忍な破壊衝動に駆られます。自分を挑発したり権威に逆らった者を徹底的に叩き潰し、味方や資産の犠牲をも顧みずに完全な屈服を強要します。,支配（Dominate）、怪力（Potence）に加え、選択訓えとして堕落（Corruption）または忘却（Oblivion）のいずれか一方を選択して習得します。,オブリビオン (忘却・深淵),虚無（アビス）の影を物理的に操り、暗黒の触手や道具を具現化し、影から影へと空間を渡る深淵の影魔法の訓え。,1,影の戯れ (Shadow Play),1-dot Mental Oblivion,アクション (Action),精神: 機知 (Wits),なし (None),なし (None),近距離 (Near),1シーン (One scene),影を意のままに伸ばし、踊らせ、威圧的なシルエットに変形させる。,周囲にある既存の影を自在に操り、影を長く伸ばしたり、意思を持って動かしたり、恐ろしい怪物のシルエットを形作らせる。,"•••: 影が寒気を誘う不気味な囁き声を放つ。
•••••: 影が自律的に動き回り、警備員の注意を誘導する。","Manipulate existing shadows, making them lengthen, dance, or assume menacing shapes.","•••: Shadows whisper chilling words.
•••••: Shadows distract guards."
ラソンブラ,Lasombra,影が世界を覆うとき、我らが世界を支配する。,冷酷な企業CEO、腐敗した聖職者、容赦なき社交界の黒幕、失脚した政治家、カルテルのフィクサー,ラソンブラは、世界はそれを支配する強い意志を持つ者のものであり、力とは与えられるものではなく冷徹な決意と闇の支配によって奪い取るものだと確信しています。彼らにとってあらゆる会議場や宮廷はチェス盤であり、劣る者は犠牲にされるべき駒にすぎません。極限の試練を生き残った強者のみを同胞として認めます。影そのものを物理的に操る能力や、他者の精神を絶対的に屈服させる技術に長けています。,処罰者 / 容赦なき野心 (Ruthless Ambition): 他者への絶対的勝利とライバルの屈服を渇望します。競争相手を罠に嵌め、支配権を誇示し、権力への道を阻む者を排除することで獣を満たします。,影の顕現 / 反射の歪み (Shadow Cast / Reflectionless): 鏡やカメラ、反射面に姿が正しく映らず、蠢く影や歪んだノイズになります。音声機器でも声が不気味に歪み、強い光や聖別された場所では超自然の露見難易度が［世代修正値］分上昇します。,冷酷 / 無情 (Ruthlessness): 冷徹で残忍な破壊衝動に駆られます。自分を挑発したり権威に逆らった者を徹底的に叩き潰し、味方や資産の犠牲をも顧みずに完全な屈服を強要します。,支配（Dominate）、怪力（Potence）に加え、選択訓えとして堕落（Corruption）または忘却（Oblivion）のいずれか一方を選択して習得します。,オブリビオン (忘却・深淵),虚無（アビス）の影を物理的に操り、暗黒の触手や道具を具現化し、影から影へと空間を渡る深淵の影魔法の訓え。,1,影の具現具 (Shadow Tools),1-dot Mental Oblivion,アクション (Action),精神: 機知 (Wits),1ヴィータイ (1 Vitae),なし (None),術者自身 (Self),1シーン (One scene),闇を固形化させ、鋭利な刃やピッキング器具、ロープを作り出す。,周囲の影を織り上げて固形化させ、剃刀のように鋭い短剣、ピッキング用の鍵、あるいは影でできた強靭なロープなどの道具を生成する。,"•••: 影の武器が破滅的（Aggravated）ダメージを与えるようになる。
•••••: 影の道具が硬質な鋼鉄をも容易に切断できるようになる。","Weave shadows into solid, razor-sharp blades, lockpicks, or climbing ropes made of solid darkness.","•••: Shadow weapons deal Aggravated damage.
•••••: Tools can cut through steel."
ラソンブラ,Lasombra,影が世界を覆うとき、我らが世界を支配する。,冷酷な企業CEO、腐敗した聖職者、容赦なき社交界の黒幕、失脚した政治家、カルテルのフィクサー,ラソンブラは、世界はそれを支配する強い意志を持つ者のものであり、力とは与えられるものではなく冷徹な決意と闇の支配によって奪い取るものだと確信しています。彼らにとってあらゆる会議場や宮廷はチェス盤であり、劣る者は犠牲にされるべき駒にすぎません。極限の試練を生き残った強者のみを同胞として認めます。影そのものを物理的に操る能力や、他者の精神を絶対的に屈服させる技術に長けています。,処罰者 / 容赦なき野心 (Ruthless Ambition): 他者への絶対的勝利とライバルの屈服を渇望します。競争相手を罠に嵌め、支配権を誇示し、権力への道を阻む者を排除することで獣を満たします。,影の顕現 / 反射の歪み (Shadow Cast / Reflectionless): 鏡やカメラ、反射面に姿が正しく映らず、蠢く影や歪んだノイズになります。音声機器でも声が不気味に歪み、強い光や聖別された場所では超自然の露見難易度が［世代修正値］分上昇します。,冷酷 / 無情 (Ruthlessness): 冷徹で残忍な破壊衝動に駆られます。自分を挑発したり権威に逆らった者を徹底的に叩き潰し、味方や資産の犠牲をも顧みずに完全な屈服を強要します。,支配（Dominate）、怪力（Potence）に加え、選択訓えとして堕落（Corruption）または忘却（Oblivion）のいずれか一方を選択して習得します。,オブリビオン (忘却・深淵),虚無（アビス）の影を物理的に操り、暗黒の触手や道具を具現化し、影から影へと空間を渡る深淵の影魔法の訓え。,2,生命を吸う闇 (Draining Darkness),2-dot Mental Oblivion,アクション (Action),社会: 操作力 (Manipulation),1ヴィータイ (1 Vitae),対象の持久力 (Target's Stamina),近距離 (Near),1シーン (One scene),闇の触手を巻き付かせ、対象の生気と体温を吸い取る。,影の触手を対象に絡みつかせ、その肉体から活力と温もりを吸い上げて衰弱させ、持久力を奪う。,なし,"Tendrils of darkness wrap around a target, siphoning their physical vigor and warmth.",None
ラソンブラ,Lasombra,影が世界を覆うとき、我らが世界を支配する。,冷酷な企業CEO、腐敗した聖職者、容赦なき社交界の黒幕、失脚した政治家、カルテルのフィクサー,ラソンブラは、世界はそれを支配する強い意志を持つ者のものであり、力とは与えられるものではなく冷徹な決意と闇の支配によって奪い取るものだと確信しています。彼らにとってあらゆる会議場や宮廷はチェス盤であり、劣る者は犠牲にされるべき駒にすぎません。極限の試練を生き残った強者のみを同胞として認めます。影そのものを物理的に操る能力や、他者の精神を絶対的に屈服させる技術に長けています。,処罰者 / 容赦なき野心 (Ruthless Ambition): 他者への絶対的勝利とライバルの屈服を渇望します。競争相手を罠に嵌め、支配権を誇示し、権力への道を阻む者を排除することで獣を満たします。,影の顕現 / 反射の歪み (Shadow Cast / Reflectionless): 鏡やカメラ、反射面に姿が正しく映らず、蠢く影や歪んだノイズになります。音声機器でも声が不気味に歪み、強い光や聖別された場所では超自然の露見難易度が［世代修正値］分上昇します。,冷酷 / 無情 (Ruthlessness): 冷徹で残忍な破壊衝動に駆られます。自分を挑発したり権威に逆らった者を徹底的に叩き潰し、味方や資産の犠牲をも顧みずに完全な屈服を強要します。,支配（Dominate）、怪力（Potence）に加え、選択訓えとして堕落（Corruption）または忘却（Oblivion）のいずれか一方を選択して習得します。,オブリビオン (忘却・深淵),虚無（アビス）の影を物理的に操り、暗黒の触手や道具を具現化し、影から影へと空間を渡る深淵の影魔法の訓え。,2,影の拘束 (Grasping Shadows),2-dot Mental Oblivion,アクション (Action),肉体: 筋力 (Strength),1ヴィータイ (1 Vitae),対象の敏捷力 (Target's Dexterity),中距離 (Medium),1シーン (One scene),対象自身の足元の影を実体化させ、脚を掴んで床に拘束する。,対象自身の影を触手のように実体化させて持ち主を拘束する。対象の足を掴んで転倒させ、床に縫い止めて身動きを封じる。,なし,"Animate a target's own shadow to grapple, trip, or pin them to the ground.",None
ラソンブラ,Lasombra,影が世界を覆うとき、我らが世界を支配する。,冷酷な企業CEO、腐敗した聖職者、容赦なき社交界の黒幕、失脚した政治家、カルテルのフィクサー,ラソンブラは、世界はそれを支配する強い意志を持つ者のものであり、力とは与えられるものではなく冷徹な決意と闇の支配によって奪い取るものだと確信しています。彼らにとってあらゆる会議場や宮廷はチェス盤であり、劣る者は犠牲にされるべき駒にすぎません。極限の試練を生き残った強者のみを同胞として認めます。影そのものを物理的に操る能力や、他者の精神を絶対的に屈服させる技術に長けています。,処罰者 / 容赦なき野心 (Ruthless Ambition): 他者への絶対的勝利とライバルの屈服を渇望します。競争相手を罠に嵌め、支配権を誇示し、権力への道を阻む者を排除することで獣を満たします。,影の顕現 / 反射の歪み (Shadow Cast / Reflectionless): 鏡やカメラ、反射面に姿が正しく映らず、蠢く影や歪んだノイズになります。音声機器でも声が不気味に歪み、強い光や聖別された場所では超自然の露見難易度が［世代修正値］分上昇します。,冷酷 / 無情 (Ruthlessness): 冷徹で残忍な破壊衝動に駆られます。自分を挑発したり権威に逆らった者を徹底的に叩き潰し、味方や資産の犠牲をも顧みずに完全な屈服を強要します。,支配（Dominate）、怪力（Potence）に加え、選択訓えとして堕落（Corruption）または忘却（Oblivion）のいずれか一方を選択して習得します。,オブリビオン (忘却・深淵),虚無（アビス）の影を物理的に操り、暗黒の触手や道具を具現化し、影から影へと空間を渡る深淵の影魔法の訓え。,2,影の仮面 (Shadow Mask),2-dot Mental Oblivion,アクション (Action),精神: 機知 (Wits),1ヴィータイ (1 Vitae),なし (None),術者自身 (Self),1シーン (One scene),生きた影を全身に纏い、防御装甲を得ると共に恐怖を放つ。,身悶えする生きた影の衣で全身を覆い隠す。物理攻撃に対する防御装甲を得ると同時に、術者を見た敵に強烈な恐怖を植え付ける。,"•••: 敵の物理攻撃が影を素通りして無害化する。
•••••: 影の仮面を見つめた敵に恐怖狂乱のチェックを強制する。","Veil your form in living shadows, gaining armor and terrifying anyone who looks upon you.","•••: Attacks pass through shadows harmlessly.
•••••: Gaze causes terror frenzy in enemies."
ラソンブラ,Lasombra,影が世界を覆うとき、我らが世界を支配する。,冷酷な企業CEO、腐敗した聖職者、容赦なき社交界の黒幕、失脚した政治家、カルテルのフィクサー,ラソンブラは、世界はそれを支配する強い意志を持つ者のものであり、力とは与えられるものではなく冷徹な決意と闇の支配によって奪い取るものだと確信しています。彼らにとってあらゆる会議場や宮廷はチェス盤であり、劣る者は犠牲にされるべき駒にすぎません。極限の試練を生き残った強者のみを同胞として認めます。影そのものを物理的に操る能力や、他者の精神を絶対的に屈服させる技術に長けています。,処罰者 / 容赦なき野心 (Ruthless Ambition): 他者への絶対的勝利とライバルの屈服を渇望します。競争相手を罠に嵌め、支配権を誇示し、権力への道を阻む者を排除することで獣を満たします。,影の顕現 / 反射の歪み (Shadow Cast / Reflectionless): 鏡やカメラ、反射面に姿が正しく映らず、蠢く影や歪んだノイズになります。音声機器でも声が不気味に歪み、強い光や聖別された場所では超自然の露見難易度が［世代修正値］分上昇します。,冷酷 / 無情 (Ruthlessness): 冷徹で残忍な破壊衝動に駆られます。自分を挑発したり権威に逆らった者を徹底的に叩き潰し、味方や資産の犠牲をも顧みずに完全な屈服を強要します。,支配（Dominate）、怪力（Potence）に加え、選択訓えとして堕落（Corruption）または忘却（Oblivion）のいずれか一方を選択して習得します。,オブリビオン (忘却・深淵),虚無（アビス）の影を物理的に操り、暗黒の触手や道具を具現化し、影から影へと空間を渡る深淵の影魔法の訓え。,3,深淵の悪夢 (Night Terrors),3-dot Mental Oblivion,アクション (Action),社会: 操作力 (Manipulation),2ヴィータイ (2 Vitae),対象の決意 (Target's Resolve),近距離 (Near),1シーン (One scene),深淵から悪夢の亡霊を呼び寄せ、対象の精神と意志を直接砕く。,アビス（深淵）の深みから悪夢の影を召喚し、対象の精神と意志力を直接攻撃して精神崩壊を引き起こす。,•••••: 対象が悲鳴を上げながら完全な発狂状態へと崩れ落ちる。,Summon nightmare specters from the Abyss that attack the target's psyche and resolve.,•••••: Target collapses into screaming madness.
