氏族名,氏族英語名,標語,典型的な元人間像,氏族の詳細概要,内なる獣の衝動,氏族の呪い,狂乱の性質,取得可能な訓え一覧,訓え名,訓えの概要説明,ドット数,パワー名,系統・種別,発動タイプ,使用能力値,発動コスト,抵抗/難易度,射程/距離,持続時間,パワー概要,効果とルールの詳細 (日本語),成熟ルール (上位ドット時の強化),Rules_Description (英語原文),Maturing_Rules (英語原文)
ヴェントルー,Ventrue,支配することは、我らの生得の権利であり最大の重責である。,ヘッジファンド代表、政界のロビイスト、伝統ある名家の後継者、マフィアのボス、冷徹な軍事指揮官,「王の氏族」と呼ばれるヴェントルーは、統治こそが血統と歴史によって自らに課せられた天命であり、最大の義務であると信じています。吸血鬼社会の法と秩序（マスカレード）を守り、混沌の中で組織を率いて導く重責を誇り高く背負います。彼らは大企業、金融帝国、政治機構、司法組織を背後から掌握し、貴族的な自負と揺るぎなき意志の力で頂点に君臨し続けます。,優越者 / 君主の特権 (Ruler's Prerogative): 他者からの服従と自らの優越的立場の承認を求めます。部下が遵守する命令を下し、支配領域を拡大し、不服従の者を屈服させることで獣を満たします。,洗練されすぎた味覚 (Rarefied Palate): 血が特定の厳格な基準（例：特定血統、特定の思想、貴族の末裔、軍高官など）を満たす獲物以外の血を拒絶します。条件外の獲物から吸血した場合、血を激しく吐き戻して栄養を得られません。,傲慢 (Arrogance): 貴族的な誇りが暴君の激怒へと変貌します。その場にいる全員に即座の服従と平伏を要求し、頭を下げない者に対して自らの覇権が認められるまで攻撃を止めません。,支配（Dominate）、堅牢（Fortitude）、威厳（Presence）の3つの訓えを標準で習得可能です。,フォーティチュード (堅牢・不屈),肉体を岩石や防弾板のように硬化させ、痛みや傷を瞬時に克服し、日光や致死ダメージにすら耐え抜く不死の耐久力の訓え。,1,不屈の肉体 (Unyielding Flesh),1-dot Physical Fortitude,アクション (Action),肉体: 持久力 (Stamina),1ヴィータイ (1 Vitae),なし (None),術者自身 (Self),1シーン (One scene),皮膚を防弾石のように硬化させ、装甲値を高める。,皮膚を超自然的に硬化させ、刀剣や銃弾に対する装甲値に［フォーティチュードのドット数］を加える。,"•••: 小口径の銃弾を完全に弾き返し、無力化する。
•••••: 高威力のライフル弾や装甲貫通弾の直撃すらものともせず耐え抜く。",Skin hardens into ballistic stone. Add Fortitude dots to armor value against all physical attacks.,"•••: Completely immune to small caliber bullets.
•••••: Shrug off high-caliber rifle rounds."
ヴェントルー,Ventrue,支配することは、我らの生得の権利であり最大の重責である。,ヘッジファンド代表、政界のロビイスト、伝統ある名家の後継者、マフィアのボス、冷徹な軍事指揮官,「王の氏族」と呼ばれるヴェントルーは、統治こそが血統と歴史によって自らに課せられた天命であり、最大の義務であると信じています。吸血鬼社会の法と秩序（マスカレード）を守り、混沌の中で組織を率いて導く重責を誇り高く背負います。彼らは大企業、金融帝国、政治機構、司法組織を背後から掌握し、貴族的な自負と揺るぎなき意志の力で頂点に君臨し続けます。,優越者 / 君主の特権 (Ruler's Prerogative): 他者からの服従と自らの優越的立場の承認を求めます。部下が遵守する命令を下し、支配領域を拡大し、不服従の者を屈服させることで獣を満たします。,洗練されすぎた味覚 (Rarefied Palate): 血が特定の厳格な基準（例：特定血統、特定の思想、貴族の末裔、軍高官など）を満たす獲物以外の血を拒絶します。条件外の獲物から吸血した場合、血を激しく吐き戻して栄養を得られません。,傲慢 (Arrogance): 貴族的な誇りが暴君の激怒へと変貌します。その場にいる全員に即座の服従と平伏を要求し、頭を下げない者に対して自らの覇権が認められるまで攻撃を止めません。,支配（Dominate）、堅牢（Fortitude）、威厳（Presence）の3つの訓えを標準で習得可能です。,フォーティチュード (堅牢・不屈),肉体を岩石や防弾板のように硬化させ、痛みや傷を瞬時に克服し、日光や致死ダメージにすら耐え抜く不死の耐久力の訓え。,2,陽光への抵抗 (Defy Sunlight),2-dot Physical Fortitude,アクション (Action),肉体: 持久力 (Stamina),2ヴィータイ (2 Vitae),なし (None),術者自身 (Self),訓えドット数に等しいターン数 (Turns = dots),日光の直撃に耐え、即座の炎上を防いでダメージを軽減する。,日光の熱情に耐え抜き、即座に激しく炎上することを防ぐ。日光による破滅的ダメージを通常ダメージへと格下げして耐え忍ぶ。,"•••: 数分間にわたって日光の下で活動できるようになる。
•••••: 最大1時間にわたって白昼の陽光の下で行動できるようになる。",Endure the touch of daylight without immediately burning. Downgrade sunlight damage to normal damage.,"•••: Can operate in sunlight for minutes.
•••••: Can operate in sunlight for one hour."
ヴェントルー,Ventrue,支配することは、我らの生得の権利であり最大の重責である。,ヘッジファンド代表、政界のロビイスト、伝統ある名家の後継者、マフィアのボス、冷徹な軍事指揮官,「王の氏族」と呼ばれるヴェントルーは、統治こそが血統と歴史によって自らに課せられた天命であり、最大の義務であると信じています。吸血鬼社会の法と秩序（マスカレード）を守り、混沌の中で組織を率いて導く重責を誇り高く背負います。彼らは大企業、金融帝国、政治機構、司法組織を背後から掌握し、貴族的な自負と揺るぎなき意志の力で頂点に君臨し続けます。,優越者 / 君主の特権 (Ruler's Prerogative): 他者からの服従と自らの優越的立場の承認を求めます。部下が遵守する命令を下し、支配領域を拡大し、不服従の者を屈服させることで獣を満たします。,洗練されすぎた味覚 (Rarefied Palate): 血が特定の厳格な基準（例：特定血統、特定の思想、貴族の末裔、軍高官など）を満たす獲物以外の血を拒絶します。条件外の獲物から吸血した場合、血を激しく吐き戻して栄養を得られません。,傲慢 (Arrogance): 貴族的な誇りが暴君の激怒へと変貌します。その場にいる全員に即座の服従と平伏を要求し、頭を下げない者に対して自らの覇権が認められるまで攻撃を止めません。,支配（Dominate）、堅牢（Fortitude）、威厳（Presence）の3つの訓えを標準で習得可能です。,フォーティチュード (堅牢・不屈),肉体を岩石や防弾板のように硬化させ、痛みや傷を瞬時に克服し、日光や致死ダメージにすら耐え抜く不死の耐久力の訓え。,2,精神の城塞 (Fortify the Mind),2-dot Mental Fortitude,リアクション (Reaction),精神: 決意 (Resolve),意志力1点 (1 Willpower),なし (None),術者自身 (Self),1シーン (One scene),精神の防御壁を固め、ドミネイトや心理攻撃への抵抗力を高める。,意志の城壁を築き、ドミネイト（支配）、プレゼンス（威厳）、および心理的マインドコントロールに対する抵抗判定プールに［フォーティチュードのドット数］を加える。,なし,"Add Fortitude dots to resistance pools against Dominate, Presence, and psychological manipulation.",None
ヴェントルー,Ventrue,支配することは、我らの生得の権利であり最大の重責である。,ヘッジファンド代表、政界のロビイスト、伝統ある名家の後継者、マフィアのボス、冷徹な軍事指揮官,「王の氏族」と呼ばれるヴェントルーは、統治こそが血統と歴史によって自らに課せられた天命であり、最大の義務であると信じています。吸血鬼社会の法と秩序（マスカレード）を守り、混沌の中で組織を率いて導く重責を誇り高く背負います。彼らは大企業、金融帝国、政治機構、司法組織を背後から掌握し、貴族的な自負と揺るぎなき意志の力で頂点に君臨し続けます。,優越者 / 君主の特権 (Ruler's Prerogative): 他者からの服従と自らの優越的立場の承認を求めます。部下が遵守する命令を下し、支配領域を拡大し、不服従の者を屈服させることで獣を満たします。,洗練されすぎた味覚 (Rarefied Palate): 血が特定の厳格な基準（例：特定血統、特定の思想、貴族の末裔、軍高官など）を満たす獲物以外の血を拒絶します。条件外の獲物から吸血した場合、血を激しく吐き戻して栄養を得られません。,傲慢 (Arrogance): 貴族的な誇りが暴君の激怒へと変貌します。その場にいる全員に即座の服従と平伏を要求し、頭を下げない者に対して自らの覇権が認められるまで攻撃を止めません。,支配（Dominate）、堅牢（Fortitude）、威厳（Presence）の3つの訓えを標準で習得可能です。,フォーティチュード (堅牢・不屈),肉体を岩石や防弾板のように硬化させ、痛みや傷を瞬時に克服し、日光や致死ダメージにすら耐え抜く不死の耐久力の訓え。,2,武器砕き (Shatter Weapon),2-dot Physical Fortitude,リアクション (Reaction),肉体: 持久力 (Stamina),1ヴィータイ (1 Vitae),なし (None),術者自身 (Self),即時 (Instant),武器で殴打された際、その衝撃を跳ね返して武器を粉砕する。,近接武器による攻撃を受けた際、その衝撃エネルギーをそのまま攻撃者の武器へと跳ね返し、接触した武器を瞬時に粉々に砕き散らす。,"•••: 超自然の魔法や魔力を帯びた武器すらも粉砕できる。
•••••: 受けた攻撃ダメージをそのまま攻撃者へと反射する。","When struck by a melee weapon, the force rebounds, shattering the weapon into fragments.","•••: Shatters enchanted weapons.
•••••: Reflects damage back to attacker."
ヴェントルー,Ventrue,支配することは、我らの生得の権利であり最大の重責である。,ヘッジファンド代表、政界のロビイスト、伝統ある名家の後継者、マフィアのボス、冷徹な軍事指揮官,「王の氏族」と呼ばれるヴェントルーは、統治こそが血統と歴史によって自らに課せられた天命であり、最大の義務であると信じています。吸血鬼社会の法と秩序（マスカレード）を守り、混沌の中で組織を率いて導く重責を誇り高く背負います。彼らは大企業、金融帝国、政治機構、司法組織を背後から掌握し、貴族的な自負と揺るぎなき意志の力で頂点に君臨し続けます。,優越者 / 君主の特権 (Ruler's Prerogative): 他者からの服従と自らの優越的立場の承認を求めます。部下が遵守する命令を下し、支配領域を拡大し、不服従の者を屈服させることで獣を満たします。,洗練されすぎた味覚 (Rarefied Palate): 血が特定の厳格な基準（例：特定血統、特定の思想、貴族の末裔、軍高官など）を満たす獲物以外の血を拒絶します。条件外の獲物から吸血した場合、血を激しく吐き戻して栄養を得られません。,傲慢 (Arrogance): 貴族的な誇りが暴君の激怒へと変貌します。その場にいる全員に即座の服従と平伏を要求し、頭を下げない者に対して自らの覇権が認められるまで攻撃を止めません。,支配（Dominate）、堅牢（Fortitude）、威厳（Presence）の3つの訓えを標準で習得可能です。,フォーティチュード (堅牢・不屈),肉体を岩石や防弾板のように硬化させ、痛みや傷を瞬時に克服し、日光や致死ダメージにすら耐え抜く不死の耐久力の訓え。,3,装甲要塞 (Armored Fortress),3-dot Physical Fortitude,アクション (Action),肉体: 持久力 (Stamina),2ヴィータイ (2 Vitae),なし (None),術者自身 (Self),1シーン (One scene),全身を不壊のダイヤモンドのように硬化し、受ける全ダメージを半減する。,全身の肉体を金剛石のごとく硬化させ、あらゆる出所から受けるすべてのダメージを半分に切り捨てる。,•••••: いかなる攻撃に対しても、受けるダメージの最初の3ポイントを完全に無視する。,Skin turns into impenetrable impenetrable diamond. Halve all incoming damage from all sources.,•••••: Ignore the first 3 points of any damage.
ヴェントルー,Ventrue,支配することは、我らの生得の権利であり最大の重責である。,ヘッジファンド代表、政界のロビイスト、伝統ある名家の後継者、マフィアのボス、冷徹な軍事指揮官,「王の氏族」と呼ばれるヴェントルーは、統治こそが血統と歴史によって自らに課せられた天命であり、最大の義務であると信じています。吸血鬼社会の法と秩序（マスカレード）を守り、混沌の中で組織を率いて導く重責を誇り高く背負います。彼らは大企業、金融帝国、政治機構、司法組織を背後から掌握し、貴族的な自負と揺るぎなき意志の力で頂点に君臨し続けます。,優越者 / 君主の特権 (Ruler's Prerogative): 他者からの服従と自らの優越的立場の承認を求めます。部下が遵守する命令を下し、支配領域を拡大し、不服従の者を屈服させることで獣を満たします。,洗練されすぎた味覚 (Rarefied Palate): 血が特定の厳格な基準（例：特定血統、特定の思想、貴族の末裔、軍高官など）を満たす獲物以外の血を拒絶します。条件外の獲物から吸血した場合、血を激しく吐き戻して栄養を得られません。,傲慢 (Arrogance): 貴族的な誇りが暴君の激怒へと変貌します。その場にいる全員に即座の服従と平伏を要求し、頭を下げない者に対して自らの覇権が認められるまで攻撃を止めません。,支配（Dominate）、堅牢（Fortitude）、威厳（Presence）の3つの訓えを標準で習得可能です。,フォーティチュード (堅牢・不屈),肉体を岩石や防弾板のように硬化させ、痛みや傷を瞬時に克服し、日光や致死ダメージにすら耐え抜く不死の耐久力の訓え。,3,不滅の生命力 (Undying Vitality),3-dot Physical Fortitude,リアクション (Reaction),肉体: 持久力 (Stamina),2ヴィータイ (2 Vitae),なし (None),術者自身 (Self),永続 (Permanent),首を刎ねられたり肉体を粉砕されても休眠し、時を経て蘇生する。,首を切断されたり、肉体が粉砕・焼失させられたとしても、血液が休眠（トーパー）にしがみつき、死を拒絶して時間をかけてゆっくりと肉体を再生させる。,•••••: 何世紀もの眠りではなく、わずか数夜のうちに休眠から蘇生する。,"Even if body is crushed or incinerated, your blood clings to torpor and slowly regenerates over time.",•••••: Awaken from torpor in nights rather than centuries.
ヴェントルー,Ventrue,支配することは、我らの生得の権利であり最大の重責である。,ヘッジファンド代表、政界のロビイスト、伝統ある名家の後継者、マフィアのボス、冷徹な軍事指揮官,「王の氏族」と呼ばれるヴェントルーは、統治こそが血統と歴史によって自らに課せられた天命であり、最大の義務であると信じています。吸血鬼社会の法と秩序（マスカレード）を守り、混沌の中で組織を率いて導く重責を誇り高く背負います。彼らは大企業、金融帝国、政治機構、司法組織を背後から掌握し、貴族的な自負と揺るぎなき意志の力で頂点に君臨し続けます。,優越者 / 君主の特権 (Ruler's Prerogative): 他者からの服従と自らの優越的立場の承認を求めます。部下が遵守する命令を下し、支配領域を拡大し、不服従の者を屈服させることで獣を満たします。,洗練されすぎた味覚 (Rarefied Palate): 血が特定の厳格な基準（例：特定血統、特定の思想、貴族の末裔、軍高官など）を満たす獲物以外の血を拒絶します。条件外の獲物から吸血した場合、血を激しく吐き戻して栄養を得られません。,傲慢 (Arrogance): 貴族的な誇りが暴君の激怒へと変貌します。その場にいる全員に即座の服従と平伏を要求し、頭を下げない者に対して自らの覇権が認められるまで攻撃を止めません。,支配（Dominate）、堅牢（Fortitude）、威厳（Presence）の3つの訓えを標準で習得可能です。,プレゼンス (威厳・魅了),自らのカリスマとオーラを増幅させ、周囲の者を畏怖させ、魅了し、心酔させて狂乱をも鎮める社交と感情操作の訓え。,1,畏怖のオーラ (Awe),1-dot Social Presence,アクション (Action),社会: カリスマ (Charisma),なし (None),対象の平静 (Target's Composure),近距離 (Near),1シーン (One scene),圧倒的なカリスマを放ち、周囲の者を魅了して反抗心を奪う。,強烈な超自然的オーラを放ち、周囲の視線と関心を一身に集める。目撃者は術者の魅力に心を奪われ、発言の一言一句に聞き惚れて敵対心を失う。,なし,"Radiate intense supernatural allure. Onlookers are captivated, hanging on your every word.",None
ヴェントルー,Ventrue,支配することは、我らの生得の権利であり最大の重責である。,ヘッジファンド代表、政界のロビイスト、伝統ある名家の後継者、マフィアのボス、冷徹な軍事指揮官,「王の氏族」と呼ばれるヴェントルーは、統治こそが血統と歴史によって自らに課せられた天命であり、最大の義務であると信じています。吸血鬼社会の法と秩序（マスカレード）を守り、混沌の中で組織を率いて導く重責を誇り高く背負います。彼らは大企業、金融帝国、政治機構、司法組織を背後から掌握し、貴族的な自負と揺るぎなき意志の力で頂点に君臨し続けます。,優越者 / 君主の特権 (Ruler's Prerogative): 他者からの服従と自らの優越的立場の承認を求めます。部下が遵守する命令を下し、支配領域を拡大し、不服従の者を屈服させることで獣を満たします。,洗練されすぎた味覚 (Rarefied Palate): 血が特定の厳格な基準（例：特定血統、特定の思想、貴族の末裔、軍高官など）を満たす獲物以外の血を拒絶します。条件外の獲物から吸血した場合、血を激しく吐き戻して栄養を得られません。,傲慢 (Arrogance): 貴族的な誇りが暴君の激怒へと変貌します。その場にいる全員に即座の服従と平伏を要求し、頭を下げない者に対して自らの覇権が認められるまで攻撃を止めません。,支配（Dominate）、堅牢（Fortitude）、威厳（Presence）の3つの訓えを標準で習得可能です。,プレゼンス (威厳・魅了),自らのカリスマとオーラを増幅させ、周囲の者を畏怖させ、魅了し、心酔させて狂乱をも鎮める社交と感情操作の訓え。,1,威圧の眼差し (Dread Gaze),1-dot Social Presence,アクション (Action),社会: カリスマ (Charisma),なし (None),対象の平静 (Target's Composure),視線が通る距離 (Line of sight),1シーン (One scene),捕食者の威容を眼差しで示し、対象を恐怖に震え上がらせて逃走させる。,魂の奥底に潜む恐るべき怪物の本質を一瞥によって露わにし、指定した対象を盲目的な恐怖に陥れてその場から逃走させる。,"•••: 対象が恐怖のあまりその場に硬直・麻痺する。
•••••: 対象が恐怖で失神するか、心停止ショックを起こす。","Reveal the monstrous predator within your soul, sending a chosen target fleeing in blind terror.","•••: Target is paralyzed with dread.
•••••: Target faints or suffers heart attack."
ヴェントルー,Ventrue,支配することは、我らの生得の権利であり最大の重責である。,ヘッジファンド代表、政界のロビイスト、伝統ある名家の後継者、マフィアのボス、冷徹な軍事指揮官,「王の氏族」と呼ばれるヴェントルーは、統治こそが血統と歴史によって自らに課せられた天命であり、最大の義務であると信じています。吸血鬼社会の法と秩序（マスカレード）を守り、混沌の中で組織を率いて導く重責を誇り高く背負います。彼らは大企業、金融帝国、政治機構、司法組織を背後から掌握し、貴族的な自負と揺るぎなき意志の力で頂点に君臨し続けます。,優越者 / 君主の特権 (Ruler's Prerogative): 他者からの服従と自らの優越的立場の承認を求めます。部下が遵守する命令を下し、支配領域を拡大し、不服従の者を屈服させることで獣を満たします。,洗練されすぎた味覚 (Rarefied Palate): 血が特定の厳格な基準（例：特定血統、特定の思想、貴族の末裔、軍高官など）を満たす獲物以外の血を拒絶します。条件外の獲物から吸血した場合、血を激しく吐き戻して栄養を得られません。,傲慢 (Arrogance): 貴族的な誇りが暴君の激怒へと変貌します。その場にいる全員に即座の服従と平伏を要求し、頭を下げない者に対して自らの覇権が認められるまで攻撃を止めません。,支配（Dominate）、堅牢（Fortitude）、威厳（Presence）の3つの訓えを標準で習得可能です。,プレゼンス (威厳・魅了),自らのカリスマとオーラを増幅させ、周囲の者を畏怖させ、魅了し、心酔させて狂乱をも鎮める社交と感情操作の訓え。,1,情動の増幅 (Impassion),1-dot Social Presence,アクション (Action),社会: カリスマ (Charisma),1ヴィータイ (1 Vitae),対象の平静 (Target's Composure),近距離 (Near),1シーン (One scene),対象の特定の感情（怒り、愛欲、悲哀、狂喜等）を強烈に煽り立てる。,対象の特定の感情（激怒、情欲、悲嘆、歓喜など）を増幅・刺激し、理性を失わせて衝動的な行動へと駆り立てる。,"•••: 単一の対象だけでなく、群衆全体に感情を波及させる。
•••••: 対象を狂信的な行動へと駆り立てる。","Amplify a specific emotion (rage, lust, grief, joy) in a target, driving them to erratic behavior.","•••: Affects crowds.
•••••: Drives target to fanatical action."
ヴェントルー,Ventrue,支配することは、我らの生得の権利であり最大の重責である。,ヘッジファンド代表、政界のロビイスト、伝統ある名家の後継者、マフィアのボス、冷徹な軍事指揮官,「王の氏族」と呼ばれるヴェントルーは、統治こそが血統と歴史によって自らに課せられた天命であり、最大の義務であると信じています。吸血鬼社会の法と秩序（マスカレード）を守り、混沌の中で組織を率いて導く重責を誇り高く背負います。彼らは大企業、金融帝国、政治機構、司法組織を背後から掌握し、貴族的な自負と揺るぎなき意志の力で頂点に君臨し続けます。,優越者 / 君主の特権 (Ruler's Prerogative): 他者からの服従と自らの優越的立場の承認を求めます。部下が遵守する命令を下し、支配領域を拡大し、不服従の者を屈服させることで獣を満たします。,洗練されすぎた味覚 (Rarefied Palate): 血が特定の厳格な基準（例：特定血統、特定の思想、貴族の末裔、軍高官など）を満たす獲物以外の血を拒絶します。条件外の獲物から吸血した場合、血を激しく吐き戻して栄養を得られません。,傲慢 (Arrogance): 貴族的な誇りが暴君の激怒へと変貌します。その場にいる全員に即座の服従と平伏を要求し、頭を下げない者に対して自らの覇権が認められるまで攻撃を止めません。,支配（Dominate）、堅牢（Fortitude）、威厳（Presence）の3つの訓えを標準で習得可能です。,プレゼンス (威厳・魅了),自らのカリスマとオーラを増幅させ、周囲の者を畏怖させ、魅了し、心酔させて狂乱をも鎮める社交と感情操作の訓え。,2,魅惑の視線 (Captivating Gaze),2-dot Social Presence,アクション (Action),社会: カリスマ (Charisma),1ヴィータイ (1 Vitae),対象の決意 (Target's Resolve),アイコンタクト/目を合わせた状態 (Eye contact),集中維持中 (Sustained),強烈な見つめ合いで対象をその場に硬直させ、発言や行動を封じる。,対象と視線を交差させ、その場に釘付けにする。術者が視線を維持している限り、対象は一歩も動けず、声を発することもできない。,"•••: 簡単な手招きや身振りによって対象を誘導できる。
•••••: 対象を深い催眠トランス状態に沈め込む。","Lock eyes with a victim, freezing them in place. They cannot move or speak as long as you maintain eye contact.","•••: Target obeys simple hand gestures.
•••••: Target falls into deep trance."
ヴェントルー,Ventrue,支配することは、我らの生得の権利であり最大の重責である。,ヘッジファンド代表、政界のロビイスト、伝統ある名家の後継者、マフィアのボス、冷徹な軍事指揮官,「王の氏族」と呼ばれるヴェントルーは、統治こそが血統と歴史によって自らに課せられた天命であり、最大の義務であると信じています。吸血鬼社会の法と秩序（マスカレード）を守り、混沌の中で組織を率いて導く重責を誇り高く背負います。彼らは大企業、金融帝国、政治機構、司法組織を背後から掌握し、貴族的な自負と揺るぎなき意志の力で頂点に君臨し続けます。,優越者 / 君主の特権 (Ruler's Prerogative): 他者からの服従と自らの優越的立場の承認を求めます。部下が遵守する命令を下し、支配領域を拡大し、不服従の者を屈服させることで獣を満たします。,洗練されすぎた味覚 (Rarefied Palate): 血が特定の厳格な基準（例：特定血統、特定の思想、貴族の末裔、軍高官など）を満たす獲物以外の血を拒絶します。条件外の獲物から吸血した場合、血を激しく吐き戻して栄養を得られません。,傲慢 (Arrogance): 貴族的な誇りが暴君の激怒へと変貌します。その場にいる全員に即座の服従と平伏を要求し、頭を下げない者に対して自らの覇権が認められるまで攻撃を止めません。,支配（Dominate）、堅牢（Fortitude）、威厳（Presence）の3つの訓えを標準で習得可能です。,プレゼンス (威厳・魅了),自らのカリスマとオーラを増幅させ、周囲の者を畏怖させ、魅了し、心酔させて狂乱をも鎮める社交と感情操作の訓え。,2,平穏の回復 (Compose Yourself),2-dot Social Presence,アクション (Action),社会: カリスマ (Charisma),意志力1点 (1 Willpower),なし (None),接触 (Touch),1シーン (One scene),触れた味方の恐怖や狂乱を瞬時に鎮め、冷静さを取り戻させる。,味方に手を触れることで、恐怖狂乱や激怒狂乱に陥っている対象を即座に正気に引き戻し、平穏と自制心を回復させる。,"•••: 人間に超自然的な勇気と平穏を植え付ける。
•••••: 失われた意志力（Willpower）を回復させる。","Touch an ally to immediately snap them out of terror or frenzy, restoring their calm and composure.","•••: Instills unnatural bravery in mortals.
•••••: Restores lost Willpower."
ヴェントルー,Ventrue,支配することは、我らの生得の権利であり最大の重責である。,ヘッジファンド代表、政界のロビイスト、伝統ある名家の後継者、マフィアのボス、冷徹な軍事指揮官,「王の氏族」と呼ばれるヴェントルーは、統治こそが血統と歴史によって自らに課せられた天命であり、最大の義務であると信じています。吸血鬼社会の法と秩序（マスカレード）を守り、混沌の中で組織を率いて導く重責を誇り高く背負います。彼らは大企業、金融帝国、政治機構、司法組織を背後から掌握し、貴族的な自負と揺るぎなき意志の力で頂点に君臨し続けます。,優越者 / 君主の特権 (Ruler's Prerogative): 他者からの服従と自らの優越的立場の承認を求めます。部下が遵守する命令を下し、支配領域を拡大し、不服従の者を屈服させることで獣を満たします。,洗練されすぎた味覚 (Rarefied Palate): 血が特定の厳格な基準（例：特定血統、特定の思想、貴族の末裔、軍高官など）を満たす獲物以外の血を拒絶します。条件外の獲物から吸血した場合、血を激しく吐き戻して栄養を得られません。,傲慢 (Arrogance): 貴族的な誇りが暴君の激怒へと変貌します。その場にいる全員に即座の服従と平伏を要求し、頭を下げない者に対して自らの覇権が認められるまで攻撃を止めません。,支配（Dominate）、堅牢（Fortitude）、威厳（Presence）の3つの訓えを標準で習得可能です。,プレゼンス (威厳・魅了),自らのカリスマとオーラを増幅させ、周囲の者を畏怖させ、魅了し、心酔させて狂乱をも鎮める社交と感情操作の訓え。,2,残留する存在感 (Lingering Presence),2-dot Social Presence,アクション (Action),社会: 操作力 (Manipulation),1ヴィータイ (1 Vitae),なし (None),接触 (Touch),1夜 (One night),部屋や場所に畏怖や魅了のオーラを刻印し、退室後も影響を与える。,退室後も長時間にわたり、自らのカリスマや恐怖の残留オーラをその場所に残し、足を踏み入れた者に影響を与える。,なし,Leave an aura of awe or fear in a room that affects anyone who enters hours after you leave.,None
ヴェントルー,Ventrue,支配することは、我らの生得の権利であり最大の重責である。,ヘッジファンド代表、政界のロビイスト、伝統ある名家の後継者、マフィアのボス、冷徹な軍事指揮官,「王の氏族」と呼ばれるヴェントルーは、統治こそが血統と歴史によって自らに課せられた天命であり、最大の義務であると信じています。吸血鬼社会の法と秩序（マスカレード）を守り、混沌の中で組織を率いて導く重責を誇り高く背負います。彼らは大企業、金融帝国、政治機構、司法組織を背後から掌握し、貴族的な自負と揺るぎなき意志の力で頂点に君臨し続けます。,優越者 / 君主の特権 (Ruler's Prerogative): 他者からの服従と自らの優越的立場の承認を求めます。部下が遵守する命令を下し、支配領域を拡大し、不服従の者を屈服させることで獣を満たします。,洗練されすぎた味覚 (Rarefied Palate): 血が特定の厳格な基準（例：特定血統、特定の思想、貴族の末裔、軍高官など）を満たす獲物以外の血を拒絶します。条件外の獲物から吸血した場合、血を激しく吐き戻して栄養を得られません。,傲慢 (Arrogance): 貴族的な誇りが暴君の激怒へと変貌します。その場にいる全員に即座の服従と平伏を要求し、頭を下げない者に対して自らの覇権が認められるまで攻撃を止めません。,支配（Dominate）、堅牢（Fortitude）、威厳（Presence）の3つの訓えを標準で習得可能です。,プレゼンス (威厳・魅了),自らのカリスマとオーラを増幅させ、周囲の者を畏怖させ、魅了し、心酔させて狂乱をも鎮める社交と感情操作の訓え。,3,心酔 (Entrancement),3-dot Social Presence,アクション (Action),社会: カリスマ (Charisma),2ヴィータイ (2 Vitae),対象の決意 (Target's Resolve),視線が通る距離 (Line of sight),1夜 (One night),対象を熱狂的な崇拝者に仕立て上げ、喜んで命令を聞き入れさせる。,対象の心を深く魅了し、術者を最も敬愛する存在として信奉させる。対象は術者からのあらゆる願いや要求を喜んで実行する。,•••••: 効果が数週間から数ヶ月間にわたって持続する。,"Enthrall a subject so deeply that they regard you as their most beloved idol, obeying requests gladly.",•••••: Lasts for weeks or months.
ヴェントルー,Ventrue,支配することは、我らの生得の権利であり最大の重責である。,ヘッジファンド代表、政界のロビイスト、伝統ある名家の後継者、マフィアのボス、冷徹な軍事指揮官,「王の氏族」と呼ばれるヴェントルーは、統治こそが血統と歴史によって自らに課せられた天命であり、最大の義務であると信じています。吸血鬼社会の法と秩序（マスカレード）を守り、混沌の中で組織を率いて導く重責を誇り高く背負います。彼らは大企業、金融帝国、政治機構、司法組織を背後から掌握し、貴族的な自負と揺るぎなき意志の力で頂点に君臨し続けます。,優越者 / 君主の特権 (Ruler's Prerogative): 他者からの服従と自らの優越的立場の承認を求めます。部下が遵守する命令を下し、支配領域を拡大し、不服従の者を屈服させることで獣を満たします。,洗練されすぎた味覚 (Rarefied Palate): 血が特定の厳格な基準（例：特定血統、特定の思想、貴族の末裔、軍高官など）を満たす獲物以外の血を拒絶します。条件外の獲物から吸血した場合、血を激しく吐き戻して栄養を得られません。,傲慢 (Arrogance): 貴族的な誇りが暴君の激怒へと変貌します。その場にいる全員に即座の服従と平伏を要求し、頭を下げない者に対して自らの覇権が認められるまで攻撃を止めません。,支配（Dominate）、堅牢（Fortitude）、威厳（Presence）の3つの訓えを標準で習得可能です。,プレゼンス (威厳・魅了),自らのカリスマとオーラを増幅させ、周囲の者を畏怖させ、魅了し、心酔させて狂乱をも鎮める社交と感情操作の訓え。,3,威風堂々 (Majesty),3-dot Social Presence,アクション (Action),社会: カリスマ (Charisma),2ヴィータイ (2 Vitae),対象の決意 (Target's Resolve),近距離 (Near),1シーン (One scene),神のごとき威厳を放ち、何者も攻撃や侮辱を行えないように屈服させる。,超越的かつ恐るべき神性のオーラを身に纏う。圧倒的な畏怖を克服するテストに成功しない限り、何者も術者を攻撃したり侮辱したりすることができない。,•••••: 人間がその場にひれ伏して平伏する。,"Assume an aura of transcendent, terrible divinity. No one can attack or insult you without overcoming crushing awe.",•••••: Mortals fall prostrate on the ground.
